     Index                                              Tweet                                              Match                            Polarity
       840                                      RT @tesssu...                                    [flawed, worse]                            Negative
       841                                      @Drak625 @...                                           [idiocy]                            Negative
       842                                      @DrWoodfun...                                            [fears]                            Negative
       847                                      RT @bensha...                                           [racist]                            Negative
       850                                      @wil_da_be...              [problem, severity, virus, bad, shit]                            Negative
       851                                      @infogorp ...                                 [death, bad, died]                            Negative
       852                                      RT @WillRi...                                     [fallen, died]                            Negative
       853                                      RT @aldeno...                                            [issue]                            Negative
       854                                      RT @Chicag...                                           [deadly]                            Negative
       855                                      RT @VABVOX...                                       [died, like]                             Neutral
       860                                      RT @tesssu...                                    [flawed, worse]                            Negative
       861                                      RT @Chicag...                                           [deadly]                            Negative
       863                                      RT @Chicag...                                           [deadly]                            Negative
       865                                      @NETFLU Mi...                                            [favor]                            Positive
       866                                      Covid is n...                                           [deadly]                            Negative
       870                                      @SuzeQKnit...                                 [dust, privileged]                             Neutral
       871                                      RT @Breeze...                                             [kill]                            Negative
       872                                      @elised42 ...                                 [vulnerable, kill]                            Negative
       875                                      RT @Chicag...                                           [deadly]                            Negative
       876                                      RT @Chicag...                                           [deadly]                            Negative
       877                                      @globaltim...                                   [virus, harmful]                            Negative
       878                                      @Dafty_Duc...                                             [cold]                            Negative
       879                                      RT @WillRi...                                     [fallen, died]                            Negative
       880                                      Dr. Makary...                                            [virus]                            Negative
       884                                      @Messiah_I...                               [cure, sick, flawed]                            Negative
       885                                      RT @WillRi...                                     [fallen, died]                            Negative
       886                                      RT @TomBra...                                         [favorite]                            Positive
       888                                      RT @dansfe...                                            [valor]                            Positive
       889                                      @blackwido...                                    [wonder, virus]                             Neutral
       890                                      Agira, não...                                         [defender]                            Positive
       892                                      @dyorcanad...                                  [illness, faster]                             Neutral
       893                                      @FrankCoul...                          [wound, well, lying, bad]                            Negative
       895                                      @TorontoSt...                               [rampant, fun, good]                            Positive
       898                                      @JMac0987 ...                             [virus, weak, perfect]                            Negative
       900                                      RT @Chicag...                                           [deadly]                            Negative
       903                                      @budantony...                                      [comfortable]                            Positive
       904                                      RT @daniel...                                   [kills, killing]                            Negative
       905                                      Meet Delta...                                            [rapid]                            Positive
       906                                      RT @MJA_Ed...                                          [prudent]                            Positive
       907                                      RT @daniel...                                   [kills, killing]                            Negative
       908                                      @Kiki_Sanc...                            [like, bad, protection]                            Positive
       909                                      Hj descobr...                                        [a+, valor]                            Positive
       912                                      I feel wor...                                            [worst]                            Negative
       915                                      @greg_trav...                               [worst, death, well]                            Negative
       916                                      RT @daniel...                                   [kills, killing]                            Negative
       918                                      RT @kallae...                                             [luck]                            Positive
       920                                      RT @dansfe...                                            [valor]                            Positive
       921                                      RT @daniel...                      [fairness, significant, risk]                            Positive
       922                                      @_JudgeCry...                                             [like]                            Positive
       925                                      RT @kallae...                                             [luck]                            Positive
       933                                      @midwest_o...                                    [magical, loss]                             Neutral
       935                                      RT @MJA_Ed...                                          [prudent]                            Positive
       936                                      @shfo In W...                                            [death]                            Negative
       938                                      RT @daniel...                                   [kills, killing]                            Negative
       940                                      @NSWHealth...                              [available, infected]                             Neutral
       942                                      @rettlerb ...                                              [die]                            Negative
       944                                      @kittypurr...                            [like, guarantee, fine]                            Positive
       945                                      RT @niceki...                                   [hard, deformed]                            Negative
       946                                      RT @jburnm...                                       [wild, like]                             Neutral
       947                                      @flowers4f...                                            [dying]                            Negative
       949                                      RT @PJW646...                                      [weird, work]                             Neutral
       952                                      RT @Chicag...                                           [deadly]                            Negative
       953                                      @MarkMcGow...                              [like, worth, bother]                            Positive
       962                                      @twcarey @...                                         [problems]                            Negative
       964                                      @jasonwyli...                                             [kill]                            Negative
       967                                      @SebGorka ...                 [damn, works, work, lying, scared]                            Negative
       968                                      @StephenDJ...                                         [positive]                            Positive
       969                                      #CovidIsNo...                                      [like, smart]                            Positive
       972                                      This. We k...                                         [collapse]                            Negative
       974                                      RT @daniel...                                   [kills, killing]                            Negative
       975                                      @giselegor...                        [like, fatigue, recklessly]                            Negative
       976                                      @Priscilla...                                            [virus]                            Negative
       977                                      RT @drmike...                                 [infections, lead]                             Neutral
       978                                      RT @Chicag...                                           [deadly]                            Negative
       981                                      RT @ECoope...                                             [well]                            Positive
       982                                      had to use...                                       [love, lean]                            Positive
       983                                      RT @FluTra...                                         [outbreak]                            Negative
       985                                      RT @EricTo...                             [phenomenal, led, fat]                            Positive
       990                                      @AllcarsCo...                                         [survival]                            Positive
       993                                      RT @daniel...                                   [kills, killing]                            Negative
      1000                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1003                                      @Louisathe...                        [infections, bizarre, dick]                            Negative
      1004                                      RT @NancyM...                              [impending, collapse]                            Negative
      1005                                      Can you cu...                                        [infection]                            Negative
      1007                                      RT @TheStr...                                         [horrible]                            Negative
      1009                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1010                                      RT @NancyM...                              [impending, collapse]                            Negative
      1011                                      such is th...                                   [well, perverse]                             Neutral
      1012                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1014                                      Oh shut up...                                             [like]                            Positive
      1015                                      RT @Alpaca...                                              [pep]                            Positive
      1016                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1017                                      RT @syndro...                                     [issues, well]                            Negative
      1018                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1019                                      RT @KashPr...                                          [healthy]                            Positive
      1020                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1021                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1025                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1026                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1027                                      RT @NancyM...                              [impending, collapse]                            Negative
      1028                                      RT @KellyA...                          [attacks, exhausts, wane]                            Negative
      1029                                      RT @NancyM...                              [impending, collapse]                            Negative
      1030                                      RT @NancyM...                              [impending, collapse]                            Negative
      1032                                      RT @Omprak...                            [protective, onslaught]                             Neutral
      1033                                      RT @KellyA...                          [attacks, exhausts, wane]                            Negative
      1034                                      @AATgirl @...                                  [unknown, poorly]                            Negative
      1035                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1037                                      RT @BobRae...                                           [attack]                            Negative
      1038                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1039                                      @lucylcali...                             [ready, willing, died]                            Positive
      1040                                      RT @NancyM...                              [impending, collapse]                            Negative
      1041                                      A 60ml sho...                                          [support]                            Positive
      1042                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1043                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1045                                      @EuphoriaS...                                        [confusing]                            Negative
      1046                                      @DrKateTO ...                                         [positive]                            Positive
      1047                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1048                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1051                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1052                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1053                                      @Mah_phe_F...                 [good, comfort, suffer, happiness]                            Positive
      1054                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1055                                      having a h...                                 [cold, like, hell]                            Negative
      1057                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1059                                      RT @HawkEy...                                     [prick, trust]                             Neutral
      1061                                      @AmyBWise8...                                              [die]                            Negative
      1062                                      RT @KashPr...                                          [healthy]                            Positive
      1063                                      @MuseZack ...                                             [good]                            Positive
      1064                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1065                                      @ansamaha ...                                           [relief]                            Positive
      1067                                      RT @Fact: ...                                           [cancer]                            Negative
      1068                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1070                                      RT @NancyM...                              [impending, collapse]                            Negative
      1071                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1072                                      RT @KashPr...                                          [healthy]                            Positive
      1076                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1077                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1078                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1079                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1080                                      RT @Alpaca...                                              [pep]                            Positive
      1081                                      RT @shadcw...                                     [mighty, weak]                             Neutral
      1082                                      RT @TheStr...                                         [horrible]                            Negative
      1083                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1084                                      @momtalkss...                                    [risk, protect]                             Neutral
      1085                                      Nobel priz...                            [prize, clean, healthy]                            Positive
      1086                                      @mwhi85971...                    [good, adverse, crappy, strong]                             Neutral
      1091                                      Research s...                                          [illness]                            Negative
      1092                                      Not everyo...                      [ready, perilous, risk, weak]                            Negative
      1093                                      Nobody is ...                                          [cruelty]                            Negative
      1094                                      RT @KashPr...                                          [healthy]                            Positive
      1097                                      RT @KellyA...                          [attacks, exhausts, wane]                            Negative
      1098                                      @Fault_Lin...                                     [consistently]                            Positive
      1100                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1103                                      @Louisathe...                        [infections, bizarre, dick]                            Negative
      1104                                      RT @NancyM...                              [impending, collapse]                            Negative
      1105                                      Can you cu...                                        [infection]                            Negative
      1107                                      RT @TheStr...                                         [horrible]                            Negative
      1109                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1110                                      RT @NancyM...                              [impending, collapse]                            Negative
      1111                                      such is th...                                   [well, perverse]                             Neutral
      1112                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1114                                      Oh shut up...                                             [like]                            Positive
      1115                                      RT @Alpaca...                                              [pep]                            Positive
      1116                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1117                                      RT @syndro...                                     [issues, well]                            Negative
      1118                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1119                                      RT @KashPr...                                          [healthy]                            Positive
      1120                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1121                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1125                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1126                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1127                                      RT @NancyM...                              [impending, collapse]                            Negative
      1128                                      RT @KellyA...                          [attacks, exhausts, wane]                            Negative
      1129                                      RT @NancyM...                              [impending, collapse]                            Negative
      1130                                      RT @NancyM...                              [impending, collapse]                            Negative
      1132                                      RT @Omprak...                            [protective, onslaught]                             Neutral
      1133                                      RT @KellyA...                          [attacks, exhausts, wane]                            Negative
      1134                                      @AATgirl @...                                  [unknown, poorly]                            Negative
      1135                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1137                                      RT @BobRae...                                           [attack]                            Negative
      1138                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1139                                      @lucylcali...                             [ready, willing, died]                            Positive
      1140                                      RT @NancyM...                              [impending, collapse]                            Negative
      1141                                      A 60ml sho...                                          [support]                            Positive
      1142                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1143                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1145                                      @EuphoriaS...                                        [confusing]                            Negative
      1146                                      @DrKateTO ...                                         [positive]                            Positive
      1147                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1148                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1151                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1152                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1153                                      @Mah_phe_F...                 [good, comfort, suffer, happiness]                            Positive
      1154                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1155                                      having a h...                                 [cold, like, hell]                            Negative
      1157                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1159                                      RT @HawkEy...                                     [prick, trust]                             Neutral
      1161                                      @AmyBWise8...                                              [die]                            Negative
      1162                                      RT @KashPr...                                          [healthy]                            Positive
      1163                                      @MuseZack ...                                             [good]                            Positive
      1164                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1165                                      @ansamaha ...                                           [relief]                            Positive
      1167                                      RT @Fact: ...                                           [cancer]                            Negative
      1168                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1170                                      RT @NancyM...                              [impending, collapse]                            Negative
      1171                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1172                                      RT @KashPr...                                          [healthy]                            Positive
      1176                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1177                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1178                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1179                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1180                                      RT @Alpaca...                                              [pep]                            Positive
      1181                                      RT @shadcw...                                     [mighty, weak]                             Neutral
      1182                                      RT @TheStr...                                         [horrible]                            Negative
      1183                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1184                                      @momtalkss...                                    [risk, protect]                             Neutral
      1185                                      Nobel priz...                            [prize, clean, healthy]                            Positive
      1186                                      @mwhi85971...                    [good, adverse, crappy, strong]                             Neutral
      1191                                      Research s...                                          [illness]                            Negative
      1192                                      Not everyo...                      [ready, perilous, risk, weak]                            Negative
      1193                                      Nobody is ...                                          [cruelty]                            Negative
      1194                                      RT @KashPr...                                          [healthy]                            Positive
      1197                                      RT @KellyA...                          [attacks, exhausts, wane]                            Negative
      1198                                      @Fault_Lin...                                     [consistently]                            Positive
      1200                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1203                                      @Louisathe...                        [infections, bizarre, dick]                            Negative
      1204                                      RT @NancyM...                              [impending, collapse]                            Negative
      1205                                      Can you cu...                                        [infection]                            Negative
      1207                                      RT @TheStr...                                         [horrible]                            Negative
      1209                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1210                                      RT @NancyM...                              [impending, collapse]                            Negative
      1211                                      such is th...                                   [well, perverse]                             Neutral
      1212                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1214                                      Oh shut up...                                             [like]                            Positive
      1215                                      RT @Alpaca...                                              [pep]                            Positive
      1216                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1217                                      RT @syndro...                                     [issues, well]                            Negative
      1218                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1219                                      RT @KashPr...                                          [healthy]                            Positive
      1220                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1221                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1225                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1226                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1227                                      RT @NancyM...                              [impending, collapse]                            Negative
      1228                                      RT @KellyA...                          [attacks, exhausts, wane]                            Negative
      1229                                      RT @NancyM...                              [impending, collapse]                            Negative
      1230                                      RT @NancyM...                              [impending, collapse]                            Negative
      1232                                      RT @Omprak...                            [protective, onslaught]                             Neutral
      1233                                      RT @KellyA...                          [attacks, exhausts, wane]                            Negative
      1234                                      @AATgirl @...                                  [unknown, poorly]                            Negative
      1235                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1237                                      RT @BobRae...                                           [attack]                            Negative
      1238                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1239                                      @lucylcali...                             [ready, willing, died]                            Positive
      1240                                      RT @NancyM...                              [impending, collapse]                            Negative
      1241                                      A 60ml sho...                                          [support]                            Positive
      1242                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1243                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1245                                      @EuphoriaS...                                        [confusing]                            Negative
      1246                                      @DrKateTO ...                                         [positive]                            Positive
      1247                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1248                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1251                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1252                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1253                                      @Mah_phe_F...                 [good, comfort, suffer, happiness]                            Positive
      1254                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1255                                      having a h...                                 [cold, like, hell]                            Negative
      1257                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1259                                      RT @HawkEy...                                     [prick, trust]                             Neutral
      1261                                      @AmyBWise8...                                              [die]                            Negative
      1262                                      RT @KashPr...                                          [healthy]                            Positive
      1263                                      @MuseZack ...                                             [good]                            Positive
      1264                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1265                                      @ansamaha ...                                           [relief]                            Positive
      1267                                      RT @Fact: ...                                           [cancer]                            Negative
      1268                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1270                                      RT @NancyM...                              [impending, collapse]                            Negative
      1271                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1272                                      RT @KashPr...                                          [healthy]                            Positive
      1276                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1277                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1278                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1279                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1280                                      RT @Alpaca...                                              [pep]                            Positive
      1281                                      RT @shadcw...                                     [mighty, weak]                             Neutral
      1282                                      RT @TheStr...                                         [horrible]                            Negative
      1283                                      RT @NPR: N...                                     [ready, peril]                             Neutral
      1284                                      @momtalkss...                                    [risk, protect]                             Neutral
      1285                                      Nobel priz...                            [prize, clean, healthy]                            Positive
      1286                                      @mwhi85971...                    [good, adverse, crappy, strong]                             Neutral
      1291                                      Research s...                                          [illness]                            Negative
      1292                                      Not everyo...                      [ready, perilous, risk, weak]                            Negative
      1293                                      Nobody is ...                                          [cruelty]                            Negative
      1294                                      RT @KashPr...                                          [healthy]                            Positive
      1297                                      RT @KellyA...                          [attacks, exhausts, wane]                            Negative
      1298                                      @Fault_Lin...                                     [consistently]                            Positive
      1299                                      RT @ewanbi...                                            [virus]                            Negative
      1300                                      RT @fitter...                               [fool, virus, worse]                            Negative
      1302                                      @GrustlerB...                                      [sorry, weak]                            Negative
      1307                                      When manda...                                       [vulnerable]                            Negative
      1308                                      RT @yaneer...                                           [damage]                            Negative
      1310                                      @MicahPoll...                                    [ideal, burden]                             Neutral
      1311                                      BIG NEWS: ...                                          [limited]                            Negative
